onset	aoi	parenting
442992	--	--
443058	3	3
443223	2	3
443421	3	3
443553	--	--
443586	3	3
444885	--	--
447414	--	--
447612	--	--
447876	--	--
447909	--	--
448305	--	--
448833	--	--
449262	--	--
449724	--	--
449856	--	--
450252	--	--
450384	2	3
450516	--	--
450648	2	3
451044	--	--
451242	3	3
451473	2	3
451869	--	--
451902	2	3
452034	3	3
452397	--	--
452496	3	3
452852	--	--
455136	--	--
455170	--	--
455202	3	3
455334	--	--
455433	2	3
456225	3	3
456555	2	3
456753	2	3
457446	--	--
457512	2	3
458568	--	--
458766	2	3
459360	--	--
459393	3	3
460345	3	1
461274	2	1
461373	3	1
461737	3	3
461802	2	3
463287	3	3
466354	3	1
466983	2	1
467148	--	--
467214	3	1
467439	3	3
467676	--	--
467775	3	3
467940	2	3
468369	3	3
469204	3	1
469986	--	--
470052	3	1
470151	--	--
470217	3	1
470350	3	3
470613	2	3
471174	3	3
472296	--	--
472362	3	3
472791	--	--
472857	3	3
473319	--	--
473352	3	3
473649	--	--
473682	3	3
473979	--	--
474012	2	3
474573	--	--
474606	3	3
476177	--	--
477180	3	3
477543	2	3
478005	--	--
478071	2	3
478731	3	3
479458	3	1
480117	--	--
480150	3	1
480876	--	--
480909	3	1
481008	2	1
481107	2	1
481140	2	2
481338	--	--
481404	2	2
482361	3	2
482526	--	--
482592	3	2
482721	3	2
482988	2	2
483120	3	2
483252	--	--
483318	3	2
483780	--	--
485727	3	2
485925	2	2
486222	--	--
486255	2	2
486420	3	2
486817	3	3
487869	--	--
488268	3	1
489489	--	--
490018	--	--
490182	2	3
490380	--	--
490479	2	3
490743	--	--
490809	2	3
490941	--	--
491436	--	--
491799	--	--
491931	--	--
491964	--	--
492393	--	--
492525	3	1
493053	--	--
493350	3	1
493449	2	1
493713	3	1
494010	--	--
494208	3	1
494406	2	1
494802	3	1
495033	--	--
495066	3	1
495191	--	--
496553	3	3
496584	2	3
496716	--	--
496881	4	3
497079	--	--
497145	4	3
497541	--	--
497574	4	3
497667	--	--
497838	--	--
497937	--	--
498036	--	--
498201	--	--
498597	--	--
498762	--	--
499026	--	--
499125	--	--
499392		
