onset	aoi	parenting
442992	--	--
443058	4	3
443223	3	3
443421	4	3
443553	--	--
443586	4	3
444885	--	--
447414	--	--
447612	--	--
447876	--	--
447909	--	--
448305	--	--
448833	--	--
449262	--	--
449724	--	--
449856	--	--
450252	--	--
450384	3	3
450516	--	--
450648	3	3
451044	--	--
451242	4	3
451473	3	3
451869	--	--
451902	3	3
452034	4	3
452397	--	--
452496	4	3
452852	--	--
455136	--	--
455170	--	--
455202	4	3
455334	--	--
455433	3	3
456225	4	3
456555	3	3
456753	3	3
457446	--	--
457512	3	3
458568	--	--
458766	3	3
459360	--	--
459393	4	3
460345	4	1
461274	3	1
461373	4	1
461737	4	3
461802	3	3
463287	4	3
466354	4	1
466983	3	1
467148	--	--
467214	4	1
467439	4	3
467676	--	--
467775	4	3
467940	3	3
468369	4	3
469204	4	1
469986	--	--
470052	4	1
470151	--	--
470217	4	1
470350	4	3
470613	3	3
471174	4	3
472296	--	--
472362	4	3
472791	--	--
472857	4	3
473319	--	--
473352	4	3
473649	--	--
473682	4	3
473979	--	--
474012	3	3
474573	--	--
474606	4	3
476177	--	--
477180	4	3
477543	3	3
478005	--	--
478071	3	3
478731	4	3
479458	4	1
480117	--	--
480150	4	1
480876	--	--
480909	4	1
481008	3	1
481107	3	1
481140	3	2
481338	--	--
481404	3	2
482361	4	2
482526	--	--
482592	4	2
482721	4	2
482988	3	2
483120	4	2
483252	--	--
483318	4	2
483780	--	--
485727	4	2
485925	3	2
486222	--	--
486255	3	2
486420	4	2
486817	4	3
487869	--	--
488268	4	1
489489	--	--
490018	--	--
490182	3	3
490380	--	--
490479	3	3
490743	--	--
490809	3	3
490941	--	--
491436	--	--
491799	--	--
491931	--	--
491964	--	--
492393	--	--
492525	4	1
493053	--	--
493350	4	1
493449	3	1
493713	4	1
494010	--	--
494208	4	1
494406	3	1
494802	4	1
495033	--	--
495066	4	1
495191	--	--
496553	4	3
496584	3	3
496716	--	--
496881	5	3
497079	--	--
497145	5	3
497541	--	--
497574	5	3
497667	--	--
497838	--	--
497937	--	--
498036	--	--
498201	--	--
498597	--	--
498762	--	--
499026	--	--
499125	--	--
499392		
