recordFrameCount,sceneFrameCount,avg_fps,sceneQTtime_d_h_m_s_tv_ts_,porQTtime_d_h_m_s_tv_ts_,porX,porY,pupilX,pupilY,cornealRefX,cornealRefY,diameterW,diameterH
21037,21008,29.16,0:00:12:01.9426/30000,0:00:12:01.8382/30000,283.69,431.23,233.57,118.02,-1000,-1000,34,38
21038,21009,29.16,0:00:12:01.10470/30000,0:00:12:01.9426/30000,281.56,433.56,234.1,118.28,-1000,-1000,30,36
21039,21010,29.16,0:00:12:01.11513/30000,0:00:12:01.10470/30000,280.41,434.81,234.38,118.41,-1000,-1000,34,38
21040,21011,29.16,0:00:12:01.12560/30000,0:00:12:01.11513/30000,279.57,436.87,234.62,118.68,-1000,-1000,27,35
21041,21012,29.16,0:00:12:01.13736/30000,0:00:12:01.12560/30000,277.38,441.09,235.21,119.2,-1000,-1000,21,30
21042,21013,29.16,0:00:12:01.14748/30000,0:00:12:01.13736/30000,276.38,443.51,235.49,119.5,-1000,-1000,19,33
21043,21014,29.16,0:00:12:01.15769/30000,0:00:12:01.14748/30000,276.67,445.36,235.48,119.78,-1000,-1000,31,35
21044,21015,29.16,0:00:12:01.16833/30000,0:00:12:01.15769/30000,274.41,448.55,236.05,120.15,-1000,-1000,19,30
21045,21016,29.16,0:00:12:01.17893/30000,0:00:12:01.16833/30000,271.99,450.48,236.61,120.33,-1000,-1000,26,34
21046,21017,29.16,0:00:12:01.18918/30000,0:00:12:01.17893/30000,269.83,450.46,237.07,120.24,-1000,-1000,28,35
21047,21018,29.16,0:00:12:01.19937/30000,0:00:12:01.18918/30000,266.79,450.38,237.71,120.11,-1000,-1000,31,35
21048,21019,29.16,0:00:12:01.20938/30000,0:00:12:01.19937/30000,262.69,450.3,238.58,119.93,-1000,-1000,20,30
21049,21020,29.16,0:00:12:01.21958/30000,0:00:12:01.20938/30000,258.64,448.52,239.39,119.52,-1000,-1000,23,30
21050,21021,29.16,0:00:12:01.23002/30000,0:00:12:01.21958/30000,254.67,447.23,240.2,119.18,-1000,-1000,23,31
21051,21022,29.16,0:00:12:01.24046/30000,0:00:12:01.23002/30000,248.57,446.27,241.48,118.81,-1000,-1000,19,31
21052,21023,29.16,0:00:12:01.25108/30000,0:00:12:01.24046/30000,245.64,439.37,241.94,117.7,-1000,-1000,26,27
21053,21024,29.16,0:00:12:01.26136/30000,0:00:12:01.25108/30000,241.76,428.75,242.53,116,-1000,-1000,18,30
21054,21025,29.16,0:00:12:01.27180/30000,0:00:12:01.26136/30000,238.67,418.66,242.97,114.38,-1000,-1000,18,29
21055,21026,29.16,0:00:12:01.28224/30000,0:00:12:01.27180/30000,237.45,408.59,243.01,112.82,-1000,-1000,29,32
21056,21027,29.16,0:00:12:01.29268/30000,0:00:12:01.28224/30000,237.48,398.24,242.76,111.24,-1000,-1000,18,29
21057,21028,29.16,0:00:12:02.331/30000,0:00:12:01.29268/30000,237.74,388.56,242.49,109.75,-1000,-1000,18,29
21058,21029,29.16,0:00:12:02.1360/30000,0:00:12:02.331/30000,237.54,378.42,242.29,108.15,-1000,-1000,22,30
21059,21030,29.16,0:00:12:02.2382/30000,0:00:12:02.1360/30000,237.09,369.28,242.18,106.67,-1000,-1000,19,28
21060,21031,29.16,0:00:12:02.3386/30000,0:00:12:02.2382/30000,235.48,365.22,242.44,105.95,-1000,-1000,19,28
21061,21032,29.16,0:00:12:02.4392/30000,0:00:12:02.3386/30000,235.96,364.79,242.32,105.9,-1000,-1000,26,30
21062,21033,29.16,0:00:12:02.5422/30000,0:00:12:02.4392/30000,236.36,364.35,242.22,105.85,-1000,-1000,25,29
21063,21034,29.16,0:00:12:02.6429/30000,0:00:12:02.5422/30000,234.14,365.12,242.74,105.88,-1000,-1000,20,27
21064,21035,29.16,0:00:12:02.7448/30000,0:00:12:02.6429/30000,232.97,364.08,242.98,105.67,-1000,-1000,22,29
21065,21036,29.16,0:00:12:02.8464/30000,0:00:12:02.7448/30000,231.71,362.54,243.23,105.36,-1000,-1000,18,28
21066,21037,29.16,0:00:12:02.9488/30000,0:00:12:02.8464/30000,230.38,361.48,243.5,105.14,-1000,-1000,23,29
21067,21038,29.16,0:00:12:02.10507/30000,0:00:12:02.9488/30000,229.23,360.82,243.75,104.98,-1000,-1000,19,28
