recordFrameCount,sceneFrameCount,avg_fps,sceneQTtime_d_h_m_s_tv_ts_,porQTtime_d_h_m_s_tv_ts_,porX,porY,pupilX,pupilY,cornealRefX,cornealRefY,diameterW,diameterH
8101,8035,29.36,0:00:04:35.26973/30000,0:00:04:35.25952/30000,212.95,340.21,222.38,103.78,-1000,-1000,23,29
8102,8036,29.36,0:00:04:35.27987/30000,0:00:04:35.26973/30000,213.15,348.03,222.69,105.44,-1000,-1000,29,35
8103,8037,29.36,0:00:04:35.29010/30000,0:00:04:35.27987/30000,213.57,356.33,222.96,107.2,-1000,-1000,30,36
8104,8038,29.36,0:00:04:36.22/30000,0:00:04:35.29010/30000,212.08,366.55,223.87,109.38,-1000,-1000,27,35
8105,8039,29.36,0:00:04:36.1030/30000,0:00:04:36.22/30000,211.24,374.19,224.46,111,-1000,-1000,29,35
8106,8040,29.36,0:00:04:36.2039/30000,0:00:04:36.1030/30000,211.48,378.1,224.58,111.82,-1000,-1000,28,35
8107,8041,29.36,0:00:04:36.3046/30000,0:00:04:36.2039/30000,211.49,382.14,224.77,112.68,-1000,-1000,28,34
8108,8042,29.36,0:00:04:36.4248/30000,0:00:04:36.3046/30000,210.85,384.97,225.08,113.28,-1000,-1000,28,35
8109,8043,29.36,0:00:04:36.5277/30000,0:00:04:36.4248/30000,210.15,387.61,225.4,113.84,-1000,-1000,28,34
8110,8044,29.36,0:00:04:36.6297/30000,0:00:04:36.5277/30000,208.33,389.03,225.99,114.14,-1000,-1000,26,34
8111,8045,29.36,0:00:04:36.7301/30000,0:00:04:36.6297/30000,206.16,388.85,226.6,114.11,-1000,-1000,24,29
8112,8046,29.36,0:00:04:36.8306/30000,0:00:04:36.7301/30000,205.91,386.59,226.57,113.63,-1000,-1000,25,32
8113,8047,29.36,0:00:04:36.9324/30000,0:00:04:36.8306/30000,205.56,383.41,226.52,112.96,-1000,-1000,25,30
8114,8048,29.36,0:00:04:36.10358/30000,0:00:04:36.9324/30000,204.7,380.97,226.65,112.45,-1000,-1000,27,33
8115,8049,29.36,0:00:04:36.11365/30000,0:00:04:36.10358/30000,203.89,379.58,226.82,112.16,-1000,-1000,28,35
8116,8050,29.36,0:00:04:36.12392/30000,0:00:04:36.11365/30000,202.67,378.03,227.09,111.83,-1000,-1000,23,26
