recordFrameCount,sceneFrameCount,avg_fps,sceneQTtime_d_h_m_s_tv_ts_,porQTtime_d_h_m_s_tv_ts_,porX,porY,pupilX,pupilY,cornealRefX,cornealRefY,diameterW,diameterH
8117,8051,29.36,0:00:04:36.13406/30000,0:00:04:36.12392/30000,201.16,378.98,227.57,112.04,-1000,-1000,26,33
8118,8052,29.36,0:00:04:36.14425/30000,0:00:04:36.13406/30000,200.42,380.05,227.83,112.27,-1000,-1000,27,35
8119,8053,29.36,0:00:04:36.15444/30000,0:00:04:36.14425/30000,200.14,381.61,227.98,112.6,-1000,-1000,25,33
8120,8054,29.36,0:00:04:36.16464/30000,0:00:04:36.15444/30000,199.99,383.05,228.09,112.9,-1000,-1000,28,35
8121,8055,29.36,0:00:04:36.17483/30000,0:00:04:36.16464/30000,200,384.08,228.13,113.12,-1000,-1000,26,33
8122,8056,29.36,0:00:04:36.18503/30000,0:00:04:36.17483/30000,200.1,384.26,228.12,113.16,-1000,-1000,28,34
8123,8057,29.36,0:00:04:36.19537/30000,0:00:04:36.18503/30000,198.78,382.19,228.39,112.72,-1000,-1000,27,35
8124,8058,29.36,0:00:04:36.20541/30000,0:00:04:36.19537/30000,197.86,379.75,228.54,112.21,-1000,-1000,23,31
8125,8059,29.36,0:00:04:36.21573/30000,0:00:04:36.20541/30000,197.65,375.32,228.4,111.27,-1000,-1000,26,34
8126,8060,29.36,0:00:04:36.22581/30000,0:00:04:36.21573/30000,197.28,370.28,228.27,110.21,-1000,-1000,26,33
8127,8061,29.36,0:00:04:36.23592/30000,0:00:04:36.22581/30000,196.65,365.06,228.21,109.11,-1000,-1000,26,33
8128,8062,29.36,0:00:04:36.24597/30000,0:00:04:36.23592/30000,195.39,359.61,228.32,107.96,-1000,-1000,24,33
8129,8063,29.36,0:00:04:36.25609/30000,0:00:04:36.24597/30000,193.82,354.83,228.54,106.95,-1000,-1000,25,34
8130,8064,29.36,0:00:04:36.26625/30000,0:00:04:36.25609/30000,191.69,350.03,228.93,105.94,-1000,-1000,25,34
8131,8065,29.36,0:00:04:36.27648/30000,0:00:04:36.26625/30000,190.93,346.79,229,105.25,-1000,-1000,26,35
8132,8066,29.36,0:00:04:36.28669/30000,0:00:04:36.27648/30000,190.22,344.18,229.08,104.7,-1000,-1000,22,33
8133,8067,29.36,0:00:04:36.29688/30000,0:00:04:36.28669/30000,189.47,341.79,229.18,104.2,-1000,-1000,27,35
8134,8068,29.36,0:00:04:37.707/30000,0:00:04:36.29688/30000,188.46,339.22,229.35,103.66,-1000,-1000,25,35
8135,8069,29.36,0:00:04:37.1728/30000,0:00:04:37.707/30000,187.16,336.44,229.59,103.07,-1000,-1000,24,34
8136,8070,29.36,0:00:04:37.2730/30000,0:00:04:37.1728/30000,185.95,334.15,229.83,102.59,-1000,-1000,26,35
8137,8071,29.36,0:00:04:37.3758/30000,0:00:04:37.2730/30000,184.68,331.85,230.09,102.1,-1000,-1000,26,35
8138,8072,29.36,0:00:04:37.4943/30000,0:00:04:37.3758/30000,183.73,329.77,230.26,101.66,-1000,-1000,24,35
8139,8073,29.36,0:00:04:37.5956/30000,0:00:04:37.4943/30000,182.87,328.04,230.43,101.3,-1000,-1000,25,34
8140,8074,29.36,0:00:04:37.6975/30000,0:00:04:37.5956/30000,182.12,326.79,230.59,101.03,-1000,-1000,25,33
8141,8075,29.36,0:00:04:37.7993/30000,0:00:04:37.6975/30000,181.45,325.59,230.72,100.78,-1000,-1000,27,35
8142,8076,29.36,0:00:04:37.8998/30000,0:00:04:37.7993/30000,180.99,324.37,230.8,100.53,-1000,-1000,23,33
8143,8077,29.36,0:00:04:37.10024/30000,0:00:04:37.8998/30000,181.43,323.96,230.65,100.44,-1000,-1000,27,34
8144,8078,29.36,0:00:04:37.11051/30000,0:00:04:37.10024/30000,182,323.01,230.45,100.23,-1000,-1000,26,34
8145,8079,29.36,0:00:04:37.12055/30000,0:00:04:37.11051/30000,182.7,321.78,230.19,99.97,-1000,-1000,27,35
